ID,Category,Title,Status,Initiator,Context,Decision,Positive Consequences,Negative Consequences,
12,Pilot,Pilot Tier,Accepted,Cloud Bridge,There are three possible tiers to implement. Tier 1 and Tier 3 are very different in terms of infrastructure,Cloud Bridge will implement Tier 1 solution for the POC delivery,* Focusing on proving workload working on AWS,* We will need to deploy Tier 3 after the pilot phase as top priority to have a feeling of network cost,
13,Pilot,Typo Mistake,Accepted,Cloud Bridge,"During the creation of the accounts for the 0000poc customer, the testing account (1 of 3) was named wrongly as Client 0123",Ivor checked client list and opted for just keep working as it's as they don't have this customer with them anymore,Cloud Bridge has not to remove/rename it saving time,AFT Module has a tech debt for removing and renaming accounts as it is not a simple task - This will need to be explained in a runbook way in the future,
14,Active Directory,AWS Managed Microsoft AD for OS authentication,Accepted,Cloud Bridge/Lendscape,Lendscape requires to have an Active Directory for server domain join and OS authentication in AWS. The AWS-managed AD will be used across possibly 50+ client accounts of Lendscape it will also be used cross-region.,To use standard edition AWS Directory Service for Microsoft Active Directory in a central account that will be shared to other account without the use of directory sharing.,* The directory will be shared to other accounts via the transit gateway network with the right security group rules. Directory service sharing to other account has a per hour and per account cost so we won't have to perform this to other accounts. This will be a cheaper cost as we can offset the per hour and per account hourly cost.,"* Cross-region AD feature is not available in the Standard edition. Will have to find a workaround to be able to connect the servers in another region
* Need to create a custom automation script to join/unjoin instances to the domain.",
15,AppStream,POC Implementation for AppStream in Tier1,Accepted,Lendscape,Landscape wants to implement a remote desktop solution so they can install the javabased swing client to be offerted to their customer,Basic infrastructure has been designed by Cloud Bridge as a initial proposal and accepted to be evolved in babysteps by Lendscape,* Simple implementation and easy to enable and disable in terraform,* Lendscape doesn't have experience in all the services involved in this solution,
16,AppStream,POC Implementation for AppStream in Tier1,Open,Cloud Bridge,Fleet instances will be deployed in the app subnet, this needs to be confirmed with Lendscape,Fleet instances will be deployed in the app subnet,* Instances won't be exposed to the Internet,* Posibility of running out-of-IPs in the App VPC?
17,Pilot,Use of Amazon FSx for Windows for SQL FCI,Superseded,Lendscape,Lendscape will need a file share to use for SQL FCI File-share witness. Amazon FSx for windows is commonly used as file-share witness when forming SQL FCI.,To use Amazon FSx for Windows with Multi-AZ as file-share witness in SQL FCI,"* FSx for Windows is a managed service and Lendscape won't have to maintain a server. It's easy to use and mount ready for the EC2 Windows instances.
* Offer multi-AZ option which offers higher availability for the file share","* Costly compared to EC2 alternatives, which is normal for AWS Managed services.",
18,Pilot,Use of Amazon FSx for Netapp for SQL FCI,Accepted,Lendscape,"Lendscape will need a file share to use for SQL FCI File-share witness. Lendscape found the Amazon FSx for Windows costly for the Multi-AZ setup, so they went for the cheaper option of Amazon FSx. They also have a base latency requirements for the file share performance.",To use Amazon FSx for Netapp Ontap with Multi-AZ as file-share witness in SQL FCI,* FSx for Netapp Ontap performs better and cheaper than the Windows option,"* A bit complex to use with the Storage virtual machines and volumes mounting and maintenance, compared to Amazon FSx for Windows.",
19,Application Infrastructure,Nginx as a Shared Resource,Accepted,Lendscape,"Due to cost considerations from Nginx Plus in AWS marketplace, Lendscape has considered to move the Nginx / DMZ infrastructure from a distributed approach for T1 and T2 clients, and to shared resource for T3 clients, into a full complete shared resource used by all client base.",To move Nginx and DMZ into a shared resource infrastructure within Network account,"* To achieve, cost savings for the Nginx usage will higher vs. the distributed approach. This will also be similar to current onpremise implementation.

","* While accepting, Terraform code has to be updated, moving DMZ modules from client resource into ancillary. Planning of IP space, Configuration Management, routing, and strategy for resource exposure should also be planned.",
20,AWS Landing Zone,One AWS Account for each Domain,Accepted,Lendscape,"A Domain in Lendscape space can be equivalent to PROD, TEST, or DR. This is similarly known as Environment names. Lendscape has their environments under each Domain to cover the multiple environment approach their client has, and to completely set the demarcation line between live and non-live resources.",To use one AWS account per Domain present for the onboarded clients,"* To achieve, is a simpler and organized approach, and is not very far from the original Organization proposal by Cloud Bridge. It imposes complete control and governance for each Domain.

","* While accepting, it is to be noted that Domains are not to be confused with Environments. Furthermore, higher environment like pre-prod is considered a part of PROD domain due to likelyness to production as opposed to being part of TEST domain being it non-live.",
21,Networking,Keep Network Architecture for APAC,Accepted,Lendscape,"APAC region as of Feb-24 will only be moving 2 T3 clients into AWS space, engaging with the question of whether it is economical or practical to keep the architecture the same as in EMEA.","To keep APAC networking the same as EMEA, meaning no changes will be applied from networking perspective to impose scale-down regardless of clients moving into it.","* To achieve, a more similar regional presence will continue, simplifying admin and management from development and operational perspective.

","* While accepting, motivations to reduce size further down the line can complicate set up and introduce additional effort to re-architecture for cost savings.",
22,Management Layer,Scale Down Management Layer for APAC,Open,Lendscape,"APAC region as of Feb-24 will only be moving 2 T3 clients into AWS space, engaging with the question of whether it is economical or practical to keep the architecture the same as in EMEA.",,,,
23,Networking,Cross Account Bucket Access,Open,Lendscape,A bucket has been requested to be created in CICD account that will be shared among client accounts for the purpose of holding FCR atifacts. To establish connectivity from client accounts to public S3 endpoint a network change / addition is required. This can be achieved by adding gateway endpoint directly to APP-VPC or create an Interface Endpoint we can allow on the Central Egress if traffic monitoring is utmost priority.,,,,
